score_threshold,patch_size,patch_overlap,coverage_pct,dice_vs_reference
0.1,300,0.15,15.36,0.4453
0.1,300,0.05,14.91,0.4423
0.1,400,0.05,14.35,0.423
0.1,400,0.15,14.53,0.4196
0.2,300,0.15,12.32,0.3965
0.2,300,0.05,12.23,0.3942
0.1,500,0.15,13.47,0.3791
0.1,500,0.05,12.95,0.3704
0.2,400,0.15,11.43,0.3643
0.2,400,0.05,11.23,0.3558
0.3,300,0.15,9.0,0.3071
0.3,300,0.05,8.79,0.304
0.2,500,0.05,8.98,0.284
0.2,500,0.15,8.57,0.2817
0.3,400,0.15,7.4,0.2567
0.3,400,0.05,7.27,0.2516
0.4,300,0.05,6.46,0.2348
0.4,300,0.15,6.46,0.2323
0.3,500,0.05,5.28,0.1893
0.3,500,0.15,5.31,0.1847
0.4,400,0.15,4.64,0.1723
0.4,400,0.05,4.32,0.1609
0.5,300,0.15,3.8,0.1395
0.5,300,0.05,3.55,0.13
0.4,500,0.15,3.22,0.1191
0.4,500,0.05,3.31,0.115
0.5,400,0.05,2.02,0.0757
0.5,400,0.15,1.97,0.0736
0.5,500,0.05,1.58,0.0615
0.5,500,0.15,1.59,0.0586
