threshold,min_size,closing_radius,coverage_pct,dice_vs_reference
0.05,1000,2,29.4,0.2564
0.05,1000,4,30.35,0.2554
0.05,500,2,31.16,0.2549
0.08,500,6,20.06,0.2541
0.05,500,4,32.19,0.2539
0.05,1000,6,31.49,0.2538
0.05,2000,2,27.23,0.2535
0.08,200,6,21.89,0.2533
0.08,500,4,19.29,0.253
0.08,200,4,20.9,0.253
0.05,2000,4,28.08,0.2525
0.08,200,2,20.01,0.2523
0.08,500,2,18.52,0.252
0.05,500,6,33.53,0.2519
0.05,2000,6,29.12,0.251
0.05,200,2,32.15,0.251
0.05,200,4,33.27,0.2499
0.08,1000,6,18.52,0.2487
0.05,200,6,34.77,0.2479
0.08,1000,4,17.84,0.2472
0.08,1000,2,17.14,0.2457
0.1,200,6,13.05,0.2344
0.02,1000,2,42.22,0.2311
0.02,500,2,43.35,0.2309
0.02,2000,2,41.02,0.2298
0.08,2000,6,16.12,0.2288
0.1,200,4,12.48,0.2286
0.02,1000,4,43.59,0.228
0.02,500,4,44.83,0.2278
0.02,200,2,44.33,0.2277
0.02,2000,4,42.34,0.2268
0.08,2000,4,15.53,0.2266
0.08,2000,2,14.94,0.2251
0.1,200,2,11.9,0.2248
0.02,200,4,45.92,0.2244
0.02,1000,6,45.08,0.2243
0.02,500,6,46.45,0.2241
0.02,2000,6,43.76,0.2232
0.02,200,6,47.79,0.2202
0.1,500,6,11.62,0.2155
0.1,500,4,11.15,0.211
0.1,500,2,10.66,0.2082
0.1,1000,6,9.96,0.1946
0.1,1000,4,9.55,0.1898
0.1,1000,2,9.14,0.1872
0.1,2000,6,7.1,0.1642
0.1,2000,4,6.81,0.1599
0.1,2000,2,6.55,0.157
0.15,200,6,1.92,0.0284
0.15,500,6,1.34,0.0248
0.15,200,4,1.84,0.0242
0.15,200,2,1.74,0.0222
0.15,500,4,1.29,0.0217
0.15,500,2,1.23,0.0198
0.15,1000,6,0.72,0.0148
0.15,1000,4,0.69,0.0119
0.15,1000,2,0.66,0.0103
0.15,2000,6,0.49,0.0085
0.15,2000,4,0.47,0.0066
0.15,2000,2,0.44,0.0059
